,maxindex,tiempo_total,navigate_per,person_per,cutscene_per,object_per,map_per,obsevation_per,notification_per,basic_per,undefined_per,close_per,13-22,5-12,0-4
23,1591,1737,49.97,15.65,7.1,10.06,1.19,0.44,1.63,40.62,56.79,2.58,53.79,31.59,14.62
24,948,1907,30.59,27.85,12.34,4.75,2.32,0.63,2.64,55.58,38.55,5.87,52.0,34.0,14.0
25,952,1409,37.5,22.06,10.82,4.41,1.79,0.53,2.42,48.5,46.06,5.44,49.55,32.52,17.93
26,949,2115,27.82,30.35,12.12,9.17,2.0,0.84,3.27,62.21,35.9,1.9,47.22,39.53,13.25
27,870,1479,36.44,28.51,11.26,5.06,1.95,1.26,2.99,52.72,44.62,2.66,51.69,32.25,16.06
28,862,1495,32.83,27.61,12.18,5.68,2.09,1.04,3.71,56.43,41.13,2.45,47.98,35.74,16.28
29,1077,2428,39.0,25.07,10.68,5.48,1.86,0.65,2.23,50.93,46.45,2.63,51.97,33.53,14.51
30,976,2531,37.09,26.02,10.14,6.05,2.46,0.92,2.56,52.98,45.18,1.84,46.76,37.15,16.09
31,1207,1392,40.18,24.77,10.52,4.64,1.24,0.41,2.15,48.28,48.19,3.54,54.81,31.22,13.96
32,1437,3380,47.81,18.16,6.54,7.65,1.88,1.18,1.53,41.65,55.7,2.65,55.6,32.11,12.28
33,847,1656,29.28,31.05,12.99,6.38,1.65,0.83,2.36,60.18,36.81,3.02,48.26,37.19,14.55
34,747,1565,26.51,33.6,14.32,6.29,1.87,0.8,3.35,62.45,34.1,3.45,49.29,34.23,16.48
35,1035,1824,38.65,24.83,11.3,7.34,1.84,0.97,2.13,51.72,46.35,1.93,48.79,34.72,16.5
36,747,1125,33.87,28.78,13.25,5.22,1.87,0.8,3.61,55.7,42.05,2.25,45.99,34.6,19.41
37,1084,1648,35.52,28.51,11.25,6.46,1.75,0.65,2.49,55.15,42.2,2.65,53.12,28.65,18.23
38,856,2445,26.99,31.07,13.67,5.02,1.64,1.17,3.04,60.87,35.78,3.35,49.94,36.23,13.83
39,941,1694,35.71,27.1,10.84,5.95,2.23,0.53,2.44,55.14,42.82,2.03,56.13,29.47,14.4
40,847,2082,35.06,26.33,12.28,6.61,1.77,0.71,3.31,53.12,44.39,2.49,48.82,31.06,20.12
41,764,1500,23.69,33.38,15.45,4.97,1.83,0.65,3.4,63.11,30.98,5.91,50.0,34.72,15.28
42,804,2243,34.95,28.11,11.44,6.22,1.87,1.49,2.61,53.78,43.49,2.73,48.7,36.79,14.51
43,1667,2121,58.19,18.48,7.32,8.4,1.08,0.42,1.5,36.72,61.78,1.5,45.03,36.4,18.57
44,1310,1780,39.31,21.91,9.39,6.95,1.98,0.61,1.98,47.92,47.76,4.32,53.05,30.37,16.57
45,1234,1791,37.03,20.83,9.16,10.78,1.7,1.3,3.32,51.97,45.23,2.8,50.35,30.22,19.43
46,1071,2003,38.84,22.13,9.99,7.38,2.52,1.03,2.71,50.89,46.95,2.17,59.82,24.85,15.32
47,1037,2951,42.91,23.43,9.64,5.5,2.51,0.96,2.03,47.6,50.87,1.53,49.49,35.85,14.66
48,1160,2015,35.95,24.05,9.91,7.24,2.16,1.38,2.59,54.38,43.52,2.1,49.18,34.57,16.24
49,1021,1469,40.16,24.09,10.19,5.39,2.35,0.69,3.13,50.21,47.43,2.36,53.99,31.39,14.62
50,1147,1700,41.06,23.28,10.29,7.76,1.66,0.87,2.44,48.48,48.76,2.76,51.18,33.97,14.85
51,1248,1491,41.91,21.79,9.29,7.13,2.24,0.88,2.64,48.01,50.04,1.95,53.85,31.75,14.39
52,1517,2354,45.29,15.29,6.66,14.04,1.25,0.92,2.18,44.61,52.63,2.77,41.69,40.4,17.92
53,987,1897,35.76,21.88,10.23,9.83,1.72,0.71,3.44,51.86,45.81,2.33,50.16,32.87,16.97
54,1410,1912,42.77,19.15,8.72,9.79,1.99,0.5,1.99,46.86,51.07,2.07,53.49,31.96,14.55
55,983,1397,35.91,24.92,9.77,6.51,2.03,0.92,3.15,51.51,45.26,3.23,52.14,33.23,14.64
56,1053,1511,37.23,24.98,12.63,5.13,1.61,0.76,2.66,52.58,44.69,2.73,53.51,28.96,17.54
57,1065,2853,39.72,22.91,9.95,7.04,1.69,1.22,2.44,48.61,48.71,2.68,51.43,34.32,14.26
58,1525,2712,28.79,16.2,6.62,26.16,1.38,0.52,2.16,57.57,41.07,1.36,38.75,50.14,11.11
59,847,1398,39.2,27.39,11.45,4.72,1.77,1.06,2.72,51.43,46.58,1.99,50.19,33.33,16.48
60,1145,2354,42.36,23.76,10.74,5.15,1.66,0.52,2.01,47.88,49.08,3.04,54.93,28.65,16.42
61,1257,1986,41.45,21.64,9.94,8.35,1.83,0.88,1.59,48.88,49.54,1.58,45.39,42.73,11.89
62,941,1382,42.08,26.46,13.18,4.36,1.59,0.53,2.44,50.06,48.37,1.57,49.38,31.54,19.08
63,1374,2663,41.05,21.4,9.24,13.46,1.24,0.87,1.89,50.8,47.15,2.05,49.36,37.89,12.75
64,1247,1803,42.74,20.53,9.78,7.7,1.28,0.48,2.65,46.26,51.95,1.78,49.53,33.7,16.77
65,1270,2014,43.31,20.63,9.21,9.53,1.73,0.71,1.73,47.2,51.32,1.48,47.78,34.81,17.41
66,873,1576,29.78,28.06,11.34,5.84,2.29,1.26,2.41,56.23,38.4,5.36,49.88,35.51,14.61
67,1796,2228,47.77,17.87,6.79,6.46,2.39,0.45,2.0,40.98,57.05,1.97,63.23,24.78,11.99
68,1420,2123,43.45,18.31,6.97,9.65,2.04,0.7,1.9,45.45,51.91,2.64,49.38,37.71,12.91
69,1093,2680,33.3,24.52,10.61,7.14,1.74,1.19,2.38,54.62,42.08,3.3,46.99,38.3,14.71
70,1148,1738,45.12,20.3,8.1,9.15,2.35,0.87,2.18,45.69,52.41,1.91,46.51,36.17,17.32
71,1062,1341,42.18,21.0,11.39,6.31,1.69,0.47,2.35,48.56,49.55,1.89,50.4,32.41,17.19
72,1102,2437,38.29,23.87,8.89,5.17,1.91,1.36,2.9,49.09,48.03,2.88,54.83,28.88,16.29
73,1094,2238,41.22,23.13,9.41,7.13,1.65,1.1,2.38,47.69,50.19,2.12,43.16,41.43,15.41
74,866,1654,31.87,25.52,11.43,9.47,1.73,1.15,3.0,57.23,40.46,2.31,45.64,36.32,18.04
75,1074,1704,38.83,25.05,10.71,7.54,1.49,0.56,2.89,52.61,45.72,1.67,49.56,33.95,16.49
76,952,1654,38.24,26.89,12.18,7.46,1.79,0.63,2.31,52.33,43.02,4.65,52.71,32.12,15.17
77,2073,4017,54.08,13.7,5.69,7.96,1.64,0.68,1.21,36.23,60.86,2.91,60.76,30.6,8.64
78,1039,2250,32.34,26.95,11.55,9.24,2.21,0.77,2.79,58.2,40.28,1.52,47.67,39.88,12.45
79,1229,2570,40.52,21.07,8.62,7.65,2.36,1.3,2.44,49.1,48.58,2.32,47.21,36.72,16.07
80,1490,1392,42.48,19.46,8.32,12.01,1.88,0.34,1.74,47.31,51.29,1.4,56.07,33.19,10.74
81,1198,1615,44.91,23.46,9.52,5.93,1.34,0.42,2.0,45.13,51.86,3.01,49.05,36.37,14.58
82,2457,3134,41.8,18.84,7.45,9.08,2.52,0.49,1.67,47.23,50.34,2.43,41.66,44.22,14.12
83,2009,1917,54.9,11.85,4.93,12.34,2.19,0.4,1.24,36.98,61.06,1.96,66.6,26.75,6.65
84,1050,2218,32.57,21.05,9.43,12.95,2.1,0.86,2.19,55.04,41.53,3.43,46.38,40.63,12.98
85,860,2050,29.3,26.63,11.63,5.47,1.86,0.58,3.02,52.9,40.15,6.95,52.21,31.99,15.81
86,963,1702,33.13,28.14,13.29,4.47,2.28,1.04,2.7,57.89,40.46,1.64,51.97,32.24,15.79
87,868,1426,33.06,24.77,11.29,8.06,1.84,1.27,3.23,54.8,41.87,3.33,50.43,32.4,17.17
88,867,1829,31.6,25.37,11.07,7.61,1.85,1.27,2.88,54.18,40.95,4.87,51.59,32.2,16.22
89,1375,2275,44.15,20.15,8.65,7.2,1.96,1.45,1.75,45.48,50.73,3.78,45.96,40.15,13.89
90,695,1149,30.79,30.65,14.1,5.18,2.3,1.01,3.45,59.79,37.61,2.6,47.94,34.66,17.4
91,1046,1580,34.61,24.28,11.47,9.46,2.2,0.76,2.49,54.97,42.61,2.41,54.59,31.94,13.47
92,1160,3160,36.55,23.62,10.34,6.47,1.38,0.6,2.16,51.11,44.63,4.26,50.09,35.5,14.41
93,934,1472,38.44,24.2,11.88,6.53,2.25,0.86,2.68,51.01,46.98,2.01,48.16,32.78,19.06
94,1084,1651,43.63,23.06,10.33,6.0,1.66,0.74,1.85,47.29,51.26,1.45,54.93,28.53,16.54
95,983,1790,32.76,26.45,11.9,3.76,3.15,0.51,2.54,56.03,41.04,2.93,57.3,28.86,13.84
96,959,1581,34.2,22.94,10.84,11.26,1.46,0.73,2.4,53.67,43.44,2.89,49.23,35.86,14.91
97,1032,1875,39.63,24.81,9.88,6.98,1.45,0.97,3.0,50.41,47.46,2.13,54.01,32.89,13.1
98,1076,1370,32.62,25.84,13.01,8.27,2.88,0.46,2.6,56.62,40.81,2.57,54.92,30.12,14.96
99,1094,1882,39.12,19.65,8.68,9.14,1.74,1.19,2.83,49.33,48.17,2.5,41.55,34.1,24.36
100,984,2624,31.3,29.78,11.48,6.81,1.93,0.81,2.03,57.89,39.96,2.15,50.37,37.67,11.95
101,1084,1442,45.02,21.68,9.04,6.0,1.48,0.83,2.58,45.23,52.63,2.14,51.69,32.82,15.49
102,2831,2818,51.32,9.57,3.89,14.91,3.0,0.67,1.24,39.55,59.11,1.34,64.17,29.89,5.94
103,1213,2142,36.27,26.13,9.89,9.98,1.73,0.74,2.31,53.1,43.76,3.14,53.57,32.13,14.3
104,887,1306,29.54,28.86,12.74,6.54,3.49,0.68,2.59,59.83,37.54,2.62,43.79,40.95,15.27
105,1073,1569,38.86,21.34,9.32,7.36,1.68,1.03,3.08,48.27,48.07,3.67,51.51,33.17,15.32
106,874,2320,33.52,26.09,11.9,6.86,2.17,0.8,3.32,54.83,43.12,2.05,49.88,33.7,16.43
107,1231,2215,40.45,22.91,9.26,7.47,1.87,1.06,2.52,48.47,49.24,2.29,56.21,29.67,14.12
108,934,1737,35.87,27.52,12.96,5.78,1.5,0.54,2.78,54.66,43.64,1.7,49.2,33.86,16.93
109,1310,1872,47.71,17.79,8.47,10.0,1.22,0.84,2.21,43.55,54.71,1.74,53.13,29.3,17.58
110,830,1424,31.81,27.11,12.53,8.31,2.05,1.08,3.49,56.66,40.49,2.85,48.59,32.65,18.77
111,1120,1568,40.18,20.27,9.46,10.0,2.5,0.89,1.88,50.05,48.36,1.59,45.64,41.24,13.12
112,942,1790,36.2,24.52,11.68,4.78,1.8,0.64,2.76,50.58,44.57,4.85,50.67,32.25,17.08
113,1210,3009,39.09,19.5,8.18,11.4,2.15,0.83,2.15,48.65,47.69,3.66,50.9,35.93,13.17
114,1433,1642,54.15,16.26,9.35,6.84,1.12,0.56,1.74,37.05,60.82,2.13,53.92,31.71,14.37
115,1097,2356,36.65,24.34,10.67,5.47,1.73,0.82,2.19,50.44,45.94,3.62,46.23,38.89,14.87
116,886,1496,28.1,29.68,13.32,7.45,1.58,1.47,2.93,61.16,36.55,2.29,46.16,38.73,15.11
117,826,1175,37.05,26.03,11.74,5.69,2.18,0.61,3.03,52.78,45.15,2.07,50.9,32.04,17.05
118,1106,1983,35.9,22.78,10.76,9.04,1.63,0.72,2.26,52.07,44.95,2.98,50.52,33.56,15.92
119,1039,1640,39.56,26.28,11.36,5.97,1.54,0.96,2.5,52.22,46.17,1.61,49.35,30.11,20.54
120,1163,1863,42.65,22.87,10.23,4.56,2.49,0.43,2.58,46.91,51.36,1.72,61.62,26.23,12.16
121,1257,1458,41.85,20.13,11.38,5.81,1.75,0.48,1.83,47.38,50.39,2.23,49.87,28.73,21.4
122,906,1477,34.22,25.17,11.04,6.51,2.21,0.77,2.76,53.38,43.06,3.56,47.43,36.33,16.24
123,881,2201,28.94,29.74,12.83,7.04,1.7,1.59,2.95,60.48,36.97,2.55,49.4,33.81,16.79
124,1132,1480,46.55,20.14,8.57,5.74,1.77,0.8,2.56,43.33,53.89,2.78,59.14,29.07,11.79
125,945,1135,38.1,24.55,11.53,6.67,2.12,0.74,3.07,51.02,46.95,2.04,54.9,31.23,13.87
126,1075,1027,37.67,23.35,11.53,7.44,1.77,1.02,2.79,52.72,45.0,2.27,50.2,30.37,19.43
127,991,1042,38.65,25.93,12.21,5.95,1.72,0.61,2.52,52.12,45.76,2.12,47.41,36.43,16.16
128,923,1965,33.04,30.23,12.46,5.85,1.84,0.76,2.71,57.44,40.39,2.17,53.14,33.75,13.11
129,863,1374,34.99,26.19,12.4,5.56,1.85,0.93,3.36,54.52,43.4,2.08,49.69,33.7,16.61
130,1035,1685,38.16,21.26,9.28,8.02,1.64,0.77,2.51,48.13,47.51,4.36,45.76,34.75,19.49
131,1008,1644,40.87,22.62,10.81,5.75,2.38,0.69,2.38,48.69,49.32,1.99,48.32,34.07,17.61
132,1097,2146,29.99,21.6,8.48,11.76,1.82,0.46,2.64,54.77,41.08,4.15,48.77,39.79,11.44
133,2356,2426,60.95,13.2,5.56,4.75,1.53,0.55,1.1,30.73,67.43,1.84,56.19,35.03,8.78
134,889,2016,29.58,29.02,13.16,6.97,1.69,1.01,2.92,59.95,37.54,2.5,46.92,36.37,16.71
135,861,1382,26.48,30.55,13.24,6.5,2.21,0.81,3.25,60.64,35.79,3.57,48.54,36.29,15.17
136,876,2019,31.39,24.89,11.07,8.22,1.94,0.8,2.63,54.29,42.28,3.43,49.82,36.01,14.17
137,1663,2214,53.64,16.24,7.88,6.86,1.38,1.62,1.56,38.19,60.06,1.75,37.96,44.24,17.8
138,1301,1988,37.2,21.06,9.07,6.53,2.15,0.61,1.77,48.31,46.83,4.86,60.24,27.14,12.62
139,1165,1918,37.85,22.4,10.99,5.75,1.63,1.03,2.23,49.35,46.45,4.21,45.69,42.23,12.08
140,1043,1842,34.71,27.61,10.93,5.56,2.4,0.48,1.92,53.96,43.83,2.21,62.0,27.8,10.2
141,1230,2136,41.06,22.6,9.11,6.99,2.52,0.73,2.03,48.98,49.24,1.78,59.27,29.72,11.01
142,1300,2455,42.77,21.46,9.38,9.15,1.69,0.54,2.0,47.37,49.64,3.0,59.73,29.35,10.93
143,1643,2252,53.2,14.67,8.28,4.87,2.56,0.3,1.7,37.26,60.03,2.71,60.1,24.75,15.15
144,1285,2319,43.97,21.09,9.88,6.23,1.95,1.09,2.49,46.61,51.13,2.26,46.58,33.6,19.82
145,1038,1375,40.27,21.19,9.83,7.13,1.35,0.96,2.41,47.19,49.06,3.74,48.63,34.99,16.38
146,970,1647,36.29,23.92,9.69,5.98,1.44,0.82,2.89,49.1,44.34,6.56,45.95,35.68,18.38
147,935,2130,33.48,27.7,12.94,5.56,1.93,0.86,3.1,56.16,41.69,2.15,47.07,35.33,17.61
148,2589,2901,52.45,18.35,8.11,3.75,2.2,0.58,1.89,39.17,59.24,1.58,60.8,26.1,13.11
149,1890,2205,39.21,12.38,5.98,35.34,1.53,0.48,1.59,57.02,41.84,1.15,40.84,47.44,11.72
150,1368,2035,47.66,20.03,8.48,6.14,1.24,0.73,2.12,42.17,54.92,2.92,44.53,35.55,19.92
151,979,1975,44.64,22.88,10.01,4.49,1.84,1.12,2.66,45.44,52.52,2.04,48.44,30.83,20.73
152,873,1539,28.18,24.86,11.8,11.8,1.6,0.69,2.63,57.71,38.1,4.19,46.14,38.67,15.18
153,1006,1670,30.22,26.54,12.03,10.04,1.59,0.89,2.68,58.52,38.84,2.65,46.9,36.38,16.72
154,1441,2669,40.53,21.72,8.67,7.29,2.01,0.49,1.94,47.59,48.91,3.5,51.0,36.08,12.91
155,1157,4275,31.37,25.15,10.29,9.68,2.25,0.78,2.25,57.04,39.83,3.13,54.77,34.86,10.36
156,1100,2128,36.36,24.73,11.0,7.27,1.82,1.09,3.27,53.12,44.68,2.21,55.39,30.41,14.2
157,1065,1544,38.78,25.07,10.05,5.26,1.97,0.85,2.35,51.24,46.47,2.29,47.88,33.86,18.26
158,788,1392,27.03,32.74,14.72,5.2,1.9,0.63,2.92,63.54,34.32,2.14,52.41,33.69,13.9
159,2937,3459,47.53,19.95,9.3,4.02,1.12,0.51,2.04,40.77,55.63,3.6,57.78,27.99,14.23
160,1958,2101,49.8,15.93,6.08,6.59,2.76,0.92,2.5,40.01,57.59,2.4,62.72,29.24,8.04
161,1115,1170,37.13,23.95,10.4,6.19,2.15,0.81,2.69,50.0,46.05,3.95,51.47,35.29,13.25
162,686,1476,30.32,31.05,13.85,5.54,2.33,0.58,3.64,59.14,38.4,2.46,50.69,33.03,16.28
163,982,1312,32.99,26.68,12.42,9.16,1.63,0.51,2.34,56.39,41.52,2.09,53.96,34.29,11.76
164,779,1231,33.38,27.34,12.71,5.52,1.8,0.51,3.34,56.07,41.47,2.46,51.43,31.7,16.87
165,1138,1906,40.86,20.04,9.67,7.47,2.02,0.79,2.55,46.82,50.19,3.0,45.72,39.1,15.18
166,1954,1985,68.68,11.98,4.81,5.58,1.28,0.67,1.89,25.7,72.18,2.12,52.07,34.08,13.84
167,2409,5295,41.93,20.01,9.3,9.38,1.95,0.91,1.74,47.68,50.13,2.19,44.56,44.25,11.19
168,1283,2938,39.59,22.53,10.21,9.98,1.79,0.39,2.26,51.1,46.78,2.12,38.36,45.82,15.82
169,820,1185,35.49,25.73,12.32,7.68,1.95,0.98,2.93,54.01,43.54,2.45,48.52,32.52,18.97
170,1198,1410,41.65,22.04,9.6,10.18,1.42,0.67,1.84,47.95,50.22,1.83,43.65,44.52,11.83
171,1244,1443,43.01,18.25,9.24,8.28,1.69,0.88,2.25,46.04,51.24,2.73,54.56,31.72,13.72
172,897,1778,35.45,26.09,11.04,8.58,1.78,1.0,3.01,52.98,45.03,1.99,47.95,35.2,16.84
173,911,1256,36.66,27.99,13.06,4.28,1.54,0.66,2.52,54.41,43.76,1.83,49.83,34.02,16.15
174,1160,2189,39.91,23.71,9.83,6.47,1.98,0.43,1.9,49.18,48.63,2.19,63.51,25.2,11.28
175,997,1578,38.82,26.88,12.04,5.02,1.5,0.7,3.11,51.88,46.24,1.88,53.65,30.63,15.73
176,918,1395,27.89,23.31,10.35,16.67,1.63,0.65,3.38,60.86,37.17,1.97,55.17,32.52,12.31
177,900,1497,32.11,28.67,13.22,5.44,1.67,0.56,2.78,55.94,41.21,2.85,50.7,32.39,16.9
178,1092,1488,41.12,19.69,8.52,11.9,1.37,0.82,3.11,48.63,49.76,1.61,46.07,38.1,15.83
179,972,1958,32.92,27.06,12.96,8.33,1.44,1.13,3.29,57.28,40.43,2.28,47.51,34.49,18.0
180,868,1395,32.26,30.07,12.9,5.65,1.73,0.69,2.53,58.09,39.86,2.05,52.04,34.5,13.46
181,953,1477,43.02,24.24,10.18,5.46,1.89,1.15,3.36,47.74,49.83,2.42,44.22,33.33,22.44
182,1216,2219,31.58,23.03,9.79,8.96,1.81,0.82,2.3,54.36,40.3,5.34,51.68,35.17,13.16
183,766,2075,29.37,31.46,12.92,6.01,2.09,0.78,4.57,60.7,37.06,2.24,49.65,32.87,17.48
184,2331,2196,62.98,10.47,4.5,7.85,1.59,0.64,0.94,29.27,68.79,1.95,36.67,50.59,12.74
185,2228,1914,52.02,14.05,6.42,9.43,1.97,0.36,1.71,39.17,59.15,1.68,66.42,22.36,11.22
186,1527,1430,50.29,16.7,8.12,5.63,1.38,0.79,2.69,38.5,58.58,2.92,51.43,32.77,15.8
187,1044,1758,37.36,25.29,11.02,6.42,2.11,1.44,3.07,52.45,45.45,2.1,49.45,33.23,17.32
188,908,1330,37.33,25.11,10.79,6.17,1.65,1.32,3.41,52.95,44.05,3.01,48.91,33.83,17.26
189,1070,1256,47.57,19.63,9.81,4.86,1.87,0.56,2.34,43.14,54.71,2.16,59.61,26.63,13.76
190,1100,2620,40.64,20.27,8.36,7.36,2.18,0.82,2.27,46.35,49.71,3.93,53.43,32.36,14.21
191,1011,2164,39.56,22.26,9.79,5.93,2.37,0.69,2.27,48.07,48.91,3.02,57.01,28.25,14.74
192,1345,1378,51.52,21.34,9.67,4.24,1.41,0.45,1.64,41.22,57.54,1.24,55.38,32.1,12.53
193,902,1540,30.93,28.82,12.53,6.32,2.33,0.67,2.77,58.01,39.15,2.85,57.58,30.2,12.22
194,1705,2145,47.45,17.13,6.74,6.63,2.46,0.76,1.88,40.06,57.36,2.58,58.48,30.72,10.8
195,1001,1167,32.87,22.28,12.99,6.79,1.4,0.7,2.5,53.85,42.23,3.91,52.52,32.71,14.77
196,1187,1164,40.44,25.27,10.45,5.48,1.85,0.84,3.03,49.42,48.53,2.05,47.64,35.44,16.92
197,732,1607,30.05,30.87,12.7,7.38,2.05,1.23,3.14,60.4,37.16,2.44,48.21,36.59,15.21
198,1340,1484,47.99,22.01,10.97,3.73,1.19,0.75,1.72,44.39,54.34,1.26,54.62,31.73,13.65
199,1417,2930,41.71,19.97,8.12,8.47,1.91,0.92,2.19,46.07,50.71,3.22,55.55,31.9,12.55
200,1055,1807,44.45,22.75,9.19,6.35,1.52,0.85,1.9,45.67,51.61,2.72,56.33,27.32,16.35
201,1130,1359,39.91,24.69,10.0,6.37,1.59,0.62,2.74,50.38,47.34,2.28,48.35,34.97,16.68
202,1602,1898,56.24,14.98,6.05,4.93,1.62,0.75,1.81,33.66,63.71,2.62,46.28,31.28,22.44
203,1204,1823,45.43,18.77,8.89,7.56,1.66,0.66,2.66,44.08,53.46,2.45,62.64,23.37,13.99
204,942,1141,33.86,27.81,13.06,6.48,2.65,0.74,2.34,57.41,40.69,1.9,56.57,29.4,14.03
205,2073,2450,49.49,13.41,6.42,11.77,1.88,0.77,2.12,39.87,57.68,2.45,56.98,29.11,13.91
206,1053,1633,31.81,29.06,11.3,5.98,1.71,1.23,2.28,56.61,40.24,3.15,54.55,31.93,13.51
207,1388,2375,39.27,22.12,8.86,9.08,2.23,1.08,1.95,50.83,47.21,1.96,47.14,38.2,14.66
208,1315,2700,42.81,17.41,7.76,9.51,1.52,0.84,1.67,44.49,51.78,3.73,47.04,39.54,13.42
209,1819,1591,51.02,15.17,6.87,7.81,2.36,0.38,1.87,39.36,59.16,1.48,64.98,24.62,10.4
210,1034,2130,34.33,22.24,9.86,10.83,1.74,1.06,2.51,51.95,43.83,4.22,49.39,34.55,16.06
211,1055,1577,38.29,22.56,9.86,7.3,2.27,0.76,2.75,50.95,46.77,2.29,54.27,31.31,14.41
212,1890,2745,52.8,14.6,7.04,7.62,2.75,0.63,1.38,36.62,60.97,2.41,62.3,28.04,9.66
213,2134,4381,49.86,15.14,5.39,8.15,3.0,1.12,1.17,41.63,56.79,1.58,56.71,31.29,11.99
214,949,1429,32.67,29.93,12.33,4.85,1.9,0.95,3.06,57.08,40.0,2.92,44.79,39.25,15.96
215,1109,1872,40.85,19.57,9.74,8.39,2.07,0.54,2.98,47.33,49.95,2.72,56.94,26.97,16.09
216,1542,1025,50.13,14.72,8.56,8.75,1.56,0.45,2.4,40.88,57.56,1.56,53.39,34.08,12.53
217,1011,1344,36.2,25.12,13.65,6.92,1.68,0.79,2.87,54.52,43.7,1.79,48.32,33.86,17.82
218,872,1302,31.65,29.36,12.96,6.31,1.95,0.92,2.98,57.92,39.9,2.18,46.32,36.19,17.49
219,1316,3105,37.08,23.02,9.12,8.59,1.37,1.9,2.2,51.29,45.47,3.24,40.57,48.19,11.24
220,885,1799,40.79,24.97,10.85,5.88,1.69,0.56,3.05,49.76,48.22,2.02,49.23,33.1,17.67
221,1058,2055,33.74,28.07,11.72,5.77,2.27,0.47,3.12,55.79,41.67,2.54,52.08,33.54,14.39
222,973,1231,39.57,23.54,10.89,5.96,1.75,0.72,2.98,50.22,47.27,2.51,49.4,35.94,14.66
223,1242,2201,43.32,21.18,9.02,6.76,1.69,1.37,2.42,46.52,50.88,2.6,42.29,39.45,18.27
224,941,1790,37.19,22.85,10.73,7.23,1.81,1.17,3.19,51.72,46.22,2.06,48.35,35.12,16.53
225,1144,2226,42.74,22.38,9.18,4.98,2.27,1.4,2.36,47.13,49.63,3.23,45.55,37.55,16.91
226,1106,1877,37.61,20.16,9.76,15.55,2.26,0.9,3.07,52.94,42.66,4.4,54.94,33.37,11.69
227,835,1424,27.31,30.3,14.37,6.95,2.04,0.6,4.19,61.17,36.14,2.68,49.55,35.41,15.03
228,972,1946,31.58,28.29,12.14,7.1,1.75,1.03,2.26,56.06,40.2,3.74,51.51,35.75,12.74
229,992,1337,35.28,21.67,10.08,11.59,1.51,1.21,2.22,53.56,43.86,2.59,45.51,41.24,13.25
230,1101,1946,34.51,25.61,10.45,4.9,1.63,0.73,2.54,53.29,43.02,3.68,54.56,31.65,13.78
231,1347,1909,47.81,19.38,7.94,7.28,2.38,0.82,2.52,41.92,56.3,1.78,59.15,26.72,14.13
