,player,correct,maxindex,navigate_click,person_click,cutscene_click,object_click,map_click,observation_click,notification_click,tiempo_total,basic,undefined,close,13-22,5-12,0-4
131,20100114214767150,14,1008,412,228,109,58,24,7,24,1644,464,470,19,461,325,168
132,20100114220329620,9,1097,329,237,93,129,20,5,29,2146,568,426,43,516,421,121
133,20100114231028224,5,2356,1436,311,131,112,36,13,26,2426,701,1538,42,1293,806,202
134,20100114300905212,15,889,263,258,117,62,15,9,26,2016,503,315,21,396,307,141
135,20100114500729176,16,861,228,263,114,56,19,7,28,1382,493,291,29,400,299,125
136,20100114590852610,11,876,275,218,97,72,17,7,23,2019,443,345,28,415,300,118
137,20100115005512812,10,1663,892,270,131,114,23,27,26,2214,611,961,28,610,711,286
138,20100115142089760,7,1301,484,274,118,85,28,8,23,1988,586,568,59,759,342,159
139,20100115143621824,12,1165,441,261,128,67,19,12,26,1918,528,497,45,503,465,133
140,20100115195541796,10,1043,362,288,114,58,25,5,20,1842,538,437,22,620,278,102
141,20100115211113456,8,1230,505,278,112,86,31,9,25,2136,577,580,21,700,351,130
142,20100115213518860,11,1300,556,279,122,119,22,7,26,2455,585,613,37,749,368,137
143,20100115262106308,10,1643,874,241,136,80,42,5,28,2252,591,952,43,964,397,243
144,20100115315902710,8,1285,565,271,127,80,25,14,32,2319,578,634,28,578,417,246
145,20100115335165856,16,1038,418,220,102,74,14,10,25,1375,454,472,36,478,344,161
146,20100115525255724,14,970,352,232,94,58,14,8,28,1647,434,392,58,425,330,170
147,20100115543803812,13,935,313,259,121,52,18,8,29,2130,497,369,19,417,313,156
148,20100116220746564,6,2589,1358,475,210,97,57,15,49,2901,964,1458,39,1498,643,323
149,20100116221381640,11,1890,741,234,113,668,29,9,30,2205,1044,766,21,749,870,215
150,20100116391229504,10,1368,652,274,116,84,17,10,29,2035,549,715,38,590,471,264
151,20100116433371412,13,979,437,224,98,44,18,11,26,1975,423,489,19,451,287,193
152,20100116512584180,17,873,246,217,103,103,14,6,23,1539,468,309,34,383,321,126
153,20100116563055436,17,1006,304,267,121,101,16,9,27,1670,553,367,25,446,346,159
154,20100116571291350,12,1441,584,313,125,105,29,7,28,2669,652,670,48,711,503,180
155,20100117030964424,14,1157,363,291,119,112,26,9,26,4275,620,433,34,608,387,115
156,20100117123192490,13,1100,400,272,121,80,20,12,36,2128,554,466,23,581,319,149
157,20100117443322200,15,1065,413,267,107,56,21,9,25,1544,515,467,23,485,343,185
158,20100117554365464,15,788,213,258,116,41,15,5,23,1392,474,256,16,392,252,104
159,20100118090535520,6,2937,1396,586,273,118,33,15,60,3459,1098,1498,97,1604,777,395
160,20100118092453996,5,1958,975,312,119,129,54,18,49,2101,749,1078,45,1186,553,152
161,20100118543017772,11,1115,414,267,116,69,24,9,30,1170,519,478,41,544,373,140
162,20100119192145600,16,686,208,213,95,38,16,4,25,1476,385,250,16,330,215,106
163,20100119450251140,14,982,324,262,122,90,16,5,23,1312,512,377,19,491,312,107
164,20100119465870440,13,779,260,213,99,43,14,4,26,1231,411,304,18,378,233,124
165,20100120422124110,12,1138,465,228,110,85,23,9,29,1906,500,536,32,497,425,165
166,20100122272408336,13,1954,1342,234,94,109,25,13,37,1985,485,1362,40,993,650,264
167,20100123015065050,9,2409,1010,482,224,226,47,22,42,5295,1088,1144,50,1023,1016,257
168,20100207544276900,11,1283,508,289,131,128,23,5,29,2938,626,573,26,473,565,195
169,20100207584362790,18,820,291,211,101,63,16,8,24,1185,418,337,19,376,252,147
170,20100208005768772,15,1198,499,264,115,122,17,8,22,1410,549,575,21,502,512,136
171,20100208140027224,11,1244,535,227,115,103,21,11,28,1443,540,601,32,652,379,164
172,20100208163077372,14,897,318,234,99,77,16,9,27,1778,453,385,17,410,301,144
173,20100208332760820,18,911,334,255,119,39,14,6,23,1256,475,382,16,435,297,141
174,20100208335075936,10,1160,463,275,114,75,23,5,22,2189,538,532,24,698,277,124
175,20100208341524588,17,997,387,268,120,50,15,7,31,1578,497,443,18,515,294,151
176,20100208395963856,13,918,256,214,95,153,15,6,31,1395,524,320,17,475,280,106
177,20100209033283424,17,900,289,258,119,49,15,5,25,1497,471,347,24,432,276,144
178,20100209041595510,11,1092,449,215,93,130,15,9,34,1488,513,525,17,486,402,167
179,20100209050074108,15,972,320,263,126,81,14,11,32,1958,527,372,21,438,318,166
180,20100209051079012,12,868,280,261,112,49,15,6,22,1395,481,330,17,433,287,112
181,20100209083651980,12,953,410,231,97,52,18,11,32,1477,434,453,22,402,303,204
182,20100209102093296,9,1216,384,280,119,109,22,10,28,2219,611,453,60,601,409,153
183,20100209120881110,18,766,225,241,99,46,16,6,35,2075,434,265,16,355,235,125
184,20100209171863964,12,2331,1468,244,105,183,37,15,22,2196,662,1556,44,838,1156,291
185,20100209285688990,9,2228,1159,313,143,210,44,8,38,1914,837,1264,36,1438,484,243
186,20100209303717350,9,1527,768,255,124,86,21,12,41,1430,554,843,42,755,481,232
187,20100209371791908,14,1044,390,264,115,67,22,15,32,1758,524,454,21,494,332,173
188,20100209432685076,16,908,339,228,98,56,15,12,31,1330,458,381,26,428,296,151
189,20100209454584624,13,1070,509,210,105,52,20,6,25,1256,440,558,22,611,273,141
190,20100209470651750,10,1100,447,223,92,81,24,9,25,2620,483,518,41,568,344,151
191,20100210035915200,10,1011,400,225,99,60,24,7,23,2164,462,470,29,553,274,143
192,20100210060040160,12,1345,693,287,130,57,19,6,22,1378,533,744,16,716,415,162
193,20100210160016240,16,902,279,260,113,57,21,6,25,1540,489,330,24,490,257,104
194,20100210281763228,6,1705,809,292,115,113,42,13,32,2145,637,912,41,948,498,175
195,20100210283094150,11,1001,329,223,130,68,14,7,25,1167,482,378,35,480,299,135
196,20100210293197136,12,1187,480,300,124,65,22,10,36,1164,554,544,23,535,398,190
197,20100210333994556,15,732,220,226,93,54,15,9,23,1607,421,259,17,336,255,106
198,20100210351087120,13,1340,643,295,147,50,16,10,23,1484,562,688,16,692,402,173
199,20100210373075410,12,1417,591,283,115,120,27,13,31,2930,616,678,43,761,437,172
200,20100210413792560,12,1055,469,240,97,67,16,9,20,1807,454,513,27,565,274,164
201,20100210420926296,15,1130,451,279,113,72,18,7,31,1359,531,499,24,513,371,177
202,20100210445216532,10,1602,901,240,97,79,26,12,29,1898,513,971,40,722,488,350
203,20100210452324736,13,1204,547,226,107,91,20,8,32,1823,503,610,28,721,269,161
204,20100210562283870,9,942,319,262,123,61,25,7,22,1141,515,365,17,508,264,126
205,20100210564048012,10,2073,1026,278,133,244,39,16,44,2450,797,1153,49,1151,588,281
206,20100210585549524,10,1053,335,306,119,63,18,13,24,1633,557,396,31,545,319,135
207,20100211053944570,9,1388,545,307,123,126,31,15,27,2375,673,625,26,627,508,195
208,20100211060690730,7,1315,563,229,102,125,20,11,22,2700,549,639,46,596,501,170
209,20100211200898944,8,1819,928,276,125,142,43,7,34,1591,692,1040,26,1143,433,183
210,20100211210852856,12,1034,355,230,102,112,18,11,26,2130,505,426,41,489,342,159
211,20100211215380732,15,1055,404,238,104,77,24,8,29,1577,512,470,23,546,315,145
212,20100211245716244,3,1890,998,276,133,144,52,12,26,2745,654,1089,43,1122,505,174
213,20100211371475936,4,2134,1064,323,115,174,64,24,25,4381,868,1184,33,1187,655,251
214,20100211382323040,14,949,310,284,117,46,18,9,29,1429,508,356,26,404,354,144
215,20100211432649536,13,1109,453,217,108,93,23,6,33,1872,488,515,28,591,280,167
216,20100211571406396,10,1542,773,227,132,135,24,7,37,1025,603,849,23,788,503,185
217,20100211574783960,13,1011,366,254,138,70,17,8,29,1344,519,416,17,461,323,170
218,20100211582805144,12,872,276,256,113,55,17,8,26,1302,479,330,18,384,300,145
219,20100212061985120,8,1316,488,303,120,113,18,25,29,3105,634,562,40,516,613,143
220,20100212140922700,17,885,361,221,96,52,15,5,27,1799,419,406,17,415,279,149
221,20100212211957756,15,1058,357,297,124,61,24,5,33,2055,549,410,25,514,331,142
222,20100212300638140,13,973,385,229,106,58,17,7,29,1231,460,433,23,455,331,135
223,20100212405834360,14,1242,538,263,112,84,21,17,30,2201,554,606,31,507,473,219
224,20100212462094680,16,941,350,215,101,68,17,11,30,1790,452,404,18,424,308,145
225,20100212532459250,15,1144,489,256,105,57,26,16,27,2226,510,537,35,501,413,186
226,20100212541324824,13,1106,416,223,108,172,25,10,34,1877,541,436,45,578,351,123
227,20100213063754024,17,835,228,253,120,58,17,5,35,1424,479,283,21,389,278,118
228,20100213091065176,11,972,307,275,118,69,17,10,22,1946,509,365,34,477,331,118
229,20100213101233660,16,992,350,215,100,115,15,12,22,1337,497,407,24,426,386,124
230,20100213111734610,12,1101,380,282,115,54,18,8,28,1946,550,444,38,574,333,145
231,20100213172799304,8,1347,644,261,107,98,32,11,34,1909,542,728,23,766,346,183
232,20100213175090564,15,959,305,258,116,64,17,12,25,1558,498,354,35,394,352,162
233,20100213181404636,6,1686,768,379,110,91,30,26,25,3043,709,833,54,664,708,260
234,20100213263066652,11,1495,759,258,170,105,21,6,35,678,599,801,16,694,478,244
235,20100213274187580,15,1012,322,259,129,102,14,6,28,1400,543,364,27,478,332,135
236,20100213300509636,15,913,295,269,118,58,14,6,25,1511,500,349,15,426,329,110
237,20100213300913772,11,1003,331,271,115,88,18,7,32,1693,517,392,32,481,321,154
238,20100213325045104,15,930,283,233,96,56,17,11,31,1641,466,338,50,439,296,150
239,20100213362527460,15,937,310,255,115,60,18,9,31,1780,500,374,17,415,317,160
240,20100213383485820,13,865,301,233,99,60,22,5,26,928,445,360,19,449,258,117
241,20100213432109132,14,1003,387,225,104,76,17,8,32,2231,485,446,21,568,245,143
242,20100213463531164,16,895,311,259,124,44,17,9,23,1039,470,354,16,408,295,137
243,20100213472187916,14,853,275,235,106,47,15,5,29,1806,430,321,26,396,246,144
244,20100213491804424,13,767,257,221,104,46,15,6,21,1441,411,299,13,334,261,128
245,20100213502927176,13,1243,412,275,153,158,23,5,25,1225,684,478,19,569,439,173
246,20100214035921210,16,1081,445,254,134,42,21,6,26,1239,499,497,20,550,306,163
247,20100214072239340,7,1089,408,263,118,90,17,10,29,2094,529,458,37,485,342,215
248,20100214111707070,14,1050,343,263,117,77,14,8,26,2298,530,403,43,540,337,128
249,20100214113878890,15,937,309,264,117,72,15,9,25,1631,510,362,16,406,333,150
250,20100214155551184,14,978,397,215,111,59,20,5,31,1092,455,444,21,548,255,120
251,20100214281723092,15,1319,597,252,155,73,20,12,35,1858,555,657,25,548,347,345
252,20100214285225424,14,1673,879,291,140,49,27,9,27,2001,578,960,52,1031,416,179
253,20100214292677810,13,816,261,224,113,72,14,5,23,1367,443,308,16,361,285,121
254,20100214313600370,17,766,236,208,101,56,16,8,32,1544,414,287,18,351,231,138
255,20100214355400680,7,1508,749,242,107,91,33,10,36,1921,575,835,41,938,363,168
256,20100214455154788,13,1571,758,236,103,159,28,8,27,2449,653,848,22,690,590,244
257,20100214582384120,9,1123,448,266,121,66,16,5,34,1525,520,520,26,579,303,193
258,20100215135044660,16,936,307,240,108,75,15,12,29,1511,471,344,47,437,274,177
259,20100215283932510,12,1234,599,238,103,91,18,7,27,1970,491,664,27,700,331,159
260,20100215344879850,13,958,322,297,122,45,23,9,24,1144,520,364,18,500,281,123
261,20100215431996840,16,1217,565,259,151,48,21,8,25,1380,533,606,22,534,386,247
262,20100216003610868,6,1211,459,313,133,68,24,9,26,1658,585,521,24,596,367,169
263,20100216033884020,14,1117,475,219,106,118,24,9,22,1611,493,529,28,541,380,140
264,20100216311459110,15,728,201,227,98,39,15,7,25,1489,400,243,21,356,218,109
265,20100216501616096,15,1017,403,220,138,54,19,4,20,1265,457,449,26,466,293,181
266,20100216555719172,16,893,334,228,99,55,15,6,34,893,450,382,18,430,284,138
267,20100217053697708,12,813,234,279,106,33,17,6,20,1212,460,276,25,422,246,105
268,20100217505765570,14,846,255,258,118,42,15,8,25,2288,464,293,31,379,279,145
269,20100217570632264,10,1200,510,239,93,122,21,13,32,2202,537,594,28,602,382,182
270,20100220002092344,8,1024,314,261,118,81,17,8,26,1830,540,374,42,476,342,160
271,20100220482525630,12,1177,480,270,119,72,23,6,28,1815,547,556,22,687,310,129
272,20100220575696256,14,1000,343,251,136,65,17,6,25,1223,513,393,24,474,285,182
273,20100221443309620,12,1070,355,272,114,86,20,11,28,1810,558,421,29,530,335,150
274,20100305412835750,15,805,205,256,122,63,16,7,32,1512,487,259,15,382,262,117
275,20100306151955890,11,1070,351,263,121,98,22,5,29,3156,547,424,32,597,302,118
276,20100307115476970,14,871,343,218,112,37,14,7,23,787,415,382,16,398,250,167
277,20100307160395410,17,786,248,212,93,68,20,10,25,2135,423,295,22,384,250,110
278,20100307415769344,7,1395,575,297,122,118,27,12,24,1878,627,653,49,723,459,177
279,20100308065207016,15,819,255,216,97,64,15,6,22,1637,435,320,17,381,268,124
280,20100308125456576,11,1412,666,277,119,86,16,8,35,1099,556,716,54,790,345,227
281,20100308255503228,12,1287,429,281,131,101,30,7,22,1792,618,504,62,556,539,139
282,20100308334567824,17,877,301,260,108,39,16,5,23,1021,464,343,21,424,283,126
283,20100308335578530,5,1349,522,311,128,159,16,10,45,1879,694,588,18,641,482,177
284,20100308381327090,14,1089,403,217,97,136,21,12,28,2223,531,482,23,419,461,159
285,20100308384707580,11,997,418,242,103,56,23,10,22,2789,471,466,22,533,296,132
286,20100308393456124,10,1115,439,273,115,75,18,8,23,2165,535,500,31,504,429,145
287,20100308482129564,7,1505,719,300,126,86,45,16,28,2050,646,780,26,966,345,146
288,20100308493009464,13,1085,416,231,142,68,19,7,32,1246,519,464,32,515,301,213
289,20100309031978676,12,800,216,253,114,54,15,5,29,1720,478,263,17,390,260,111
290,20100309090695490,8,1230,418,281,122,145,24,7,25,2271,628,492,42,582,433,167
291,20100309412344784,9,2261,1186,309,123,270,24,19,27,2726,798,1290,70,1047,785,377
292,20100309435520190,8,2198,974,347,115,331,38,24,23,2857,931,1117,65,915,960,278
293,20100309472366890,13,1121,407,287,115,74,28,6,41,1981,566,466,35,686,270,125
294,20100309494037300,9,1846,1117,268,155,68,36,6,21,1065,577,1172,23,1035,530,207
295,20100310075709520,16,984,325,282,113,61,23,7,27,1661,535,373,18,485,310,131
296,20100310235278044,10,1563,727,234,111,237,29,13,26,2046,674,802,30,712,589,217
297,20100310324044360,11,949,285,257,113,82,15,8,28,2941,515,363,21,464,307,135
298,20100310362943920,11,955,351,228,95,62,17,12,30,1802,466,416,22,427,345,138
299,20100310430520250,12,985,346,290,118,48,16,8,23,1145,507,381,30,444,331,156
300,20100311022013350,14,1362,598,277,130,101,26,22,26,1426,615,666,22,702,399,203
301,20100311032711670,16,825,288,217,102,57,15,8,30,1581,421,337,20,388,259,136
302,20100311135231296,12,1032,380,278,118,66,14,10,31,1492,511,432,30,499,295,191
303,20100311224131456,12,1080,409,263,115,100,17,7,25,1789,545,464,21,516,335,182
304,20100311270415864,14,963,374,223,105,66,19,6,22,1738,454,430,25,558,255,103
305,20100311405375370,8,1800,925,301,127,108,45,10,25,1917,709,994,30,1031,527,181
306,20100311484793536,9,1060,376,254,115,82,18,10,28,2120,527,455,25,504,355,152
307,20100311542086956,16,1138,411,260,118,89,17,13,34,1730,538,479,47,496,384,210
308,20100311553596364,17,945,351,265,122,50,14,6,22,1363,473,398,17,438,312,141
309,20100312083231956,12,1121,443,261,112,86,20,6,32,2608,524,503,35,553,388,142
310,20100312152757270,10,1584,716,291,164,166,25,8,31,1447,699,777,21,708,534,258
311,20100312170174200,11,990,389,235,113,47,16,7,21,1237,431,436,36,481,310,132
312,20100312251488896,13,1281,515,267,116,123,25,10,31,1821,605,598,29,500,540,197
313,20100312291187364,15,839,310,224,99,44,14,6,29,1282,432,348,15,405,266,124
314,20100312292122604,11,958,376,229,98,66,21,8,22,1313,450,433,23,463,319,126
315,20100312323389636,14,1277,642,265,114,74,16,7,23,1826,519,690,17,650,415,162
316,20100312332553410,8,1446,612,236,107,117,46,12,24,2101,604,702,47,723,441,216
317,20100312452523944,3,1380,594,292,109,144,21,14,23,2632,614,673,35,592,552,188
318,20100312485905144,12,931,286,261,111,49,16,7,25,1848,486,337,41,486,297,107
319,20100312493831456,16,835,240,252,109,49,21,6,25,1379,479,296,19,408,267,120
320,20100312522053824,15,1688,851,284,125,85,43,14,26,2103,626,951,41,875,566,194
321,20100312572587092,17,1242,534,266,128,71,23,11,32,1911,551,612,24,677,363,150
322,20100313002867016,7,944,309,282,125,48,16,7,30,874,519,355,14,447,298,143
